type_repas,titre,url,image,auteur,difficulte,duree,regime,likes,prep_time,cook_time,total_time,cuisson_type,contraintes,rating,votes,portions,ingredients
soupes-et-potees,Tian de Caromb,https://www.cuisine-libre.org/tian-de-caromb,https://www.cuisine-libre.org/local/cache-gd2/77/0dfbf0c5ee7af7215665a1aac0aec6.jpg?1644794342,Produits du terroir,,Durée totale :11 h,Non végétarien,2,30 min,3 h 10,PT11H40M,Four,"Sans œuf, Sans lactose, Sans gluten",5.00,2,,"un train de côtes de porc, de carré de porc pris dans l’échine ou de côtes secondes | en quantité égale, des haricots secs de Caromb sinon des cavaillonnais[*] | des oignons | du petit salé | de la graisse d’oie ou de canard | un bouquet de sauge | de l’huile d’olive | du sel et du poivre"
soupes-et-potees,Potée vegan de chou,https://www.cuisine-libre.org/potee-vegan-de-chou,https://www.cuisine-libre.org/local/cache-gd2/19/4a292199d5497f24de84796959fedc.jpg?1644794505,Athoune,,Durée totale :35 min,Végétalien (vegan),,20 min,15 min,PT35M,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,2,"1 tasse de protéines de soja texturées | 1 bol de thé (fumé, c’est encore mieux) | 2 c. à soupe de kacha | 2 c. à soupe d’huile | 2 gousses d’ail | 1 feuille de laurier | ½ chou pas trop gros | 1 belle carotte | sel, poivre"
soupes-et-potees,Ragoût à la cacahuète,https://www.cuisine-libre.org/ragout-a-la-cacahuete,https://www.cuisine-libre.org/local/cache-gd2/80/4b1cd387c68f06e7277fe039232021.jpg?1645758228,USDA,,Durée totale :45 min,Végétarien,,15 min,30 min,PT45M,Bouilli,"Sans viande, Sans œuf, Sans gluten",,,8,"1 tasse de riz brun (instantané) | 2 tasses de bouillon de légumes (à teneur réduite en sodium ou bouillon de poulet)[*] | 1 c. à café d’oignon déshydraté (émincé) | 1 c. à café d’ail en poudre (ou 4 gousses d’ail) | 1 c. à café de gingembre moulu | 1 c. à café de piment rouge (facultatif) | 2 tasses de patate douce (ou d’igname) pelée et coupée en dés | 1 boîte de tomates (14,5 oz), coupées en dés, avec leur liquide | 1 c. à café de sel | 1 tasse de beurre d’arachide (crémeux) | 1 tasse de lait (écrémé ou 1%) | 3 tasses de jeunes pousses d’épinards frais, hachées grossièrement (ou un paquet de 10 oz d’épinards surgelés) | 1 tasse d’arachides (hachées, rôties à sec [facultatif]) | du vert d’oignon (tranché finement [facultatif])"
soupes-et-potees,Poivrons verts poêlés à la provençale,https://www.cuisine-libre.org/poivrons-verts-poeles-a-la-provencale,https://www.cuisine-libre.org/local/cache-gd2/96/23c8a2379344f938ef51ed1d43ea60.jpg?1644794700,,,Durée totale :55 min,Végétalien (vegan),76,15 min,40 min,PT55M,Mijoté,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,76,4,"4 poivrons verts | 2 oignons | 1 c.soupe d’huile d’olive | 1 gousse d’ail | 400 g de tomates concassées | herbes de Provence | sel, poivre"
soupes-et-potees,Masoor dal (dahl de lentilles corail),https://www.cuisine-libre.org/masoor-dal-dahl-de-lentilles-corail,https://www.cuisine-libre.org/local/cache-gd2/cb/17e663084236d21a7d3585b7c5ea23.jpg?1644795537,,Facile !,Durée totale :25 min,Végétarien,5,5 min,20 min,PT25M,Mijoté,"Sans viande, Sans œuf, Sans gluten",5.00,5,4,250 g de lentilles corail | 75 cl d’eau | 1 tomate en dèsou 2 c. à soupe de purée de tomates | 1 c. à café de cumin en graines | 1 c. à café de curcuma en poudre | 1 c. à café de piment en poudre | 1 oignon émincé | 1 cm de racine de gingembre râpéeou 1 c. café de gingembre moulu | ghee (beurre clarifié) | 2 branches de coriandre fraîche
soupes-et-potees,Chili con carne non piquant,https://www.cuisine-libre.org/chili-con-carne-non-piquant,https://www.cuisine-libre.org/local/cache-gd2/bc/97eaf88539cc235eff7f8d2917a2ca.jpg?1644794886,Pierre-Alain Dorange,,Durée totale :5 h,Non végétarien,20,1 h,4 h,PT5H,Mijoté,Sans œuf,5.00,20,4,"400 g de bœuf haché | 400 g de haricots rouges cuits (avec leur jus) | 400 g de tomates pelées (avec leur jus) | 1 ou 2 oignons | 1 gousse d’ail | 5 c. à soupe de marjolaine ou d’origan | 2 c. à soupe de paprika doux | 2 c. à café de cumin | sel, poivre | sucre | farine"
soupes-et-potees,Lapin au cidre et aux pommes,https://www.cuisine-libre.org/lapin-au-cidre-et-aux-pommes,https://www.cuisine-libre.org/local/cache-gd2/78/b89c98a876e74ed9721d579d9a2486.jpg?1644794833,Cédric,,Durée totale :1 h 15,Non végétarien,54,15 min,1 h,PT1H15M,Mijoté,Sans œuf,5.00,54,6,"1 beau lapin de garenne de 1,4 kg | 6 pommes à cuire, moyennes | 20 cl de crème fraîche | 50 g de beurre | 75 cl de cidre brut mais fruité | 2 échalotes | 1 feuille de laurier | sel, poivre du moulin"
soupes-et-potees,Curry orange de pois chiches,https://www.cuisine-libre.org/curry-orange-de-pois-chiches,https://www.cuisine-libre.org/local/cache-gd2/be/843ae00b152464b036e36252a328ff.jpg?1706355283,,Facile !,Durée totale :30 min,Végétalien (vegan),,30 min,,PT30M,Mijoté,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,2,1 carotte | 1 càs d’huile de colza pour cuisson | ½ càc de curcuma moulu | ½ càc de cumin moulu | ½ càc de paprika fumé | 1 pincée de coriandre moulue | 10 cl de coulis de tomates | 3 càs de crème de coco | 30 cl d’eau | ½ càc de sel fin | 100 g de pois chiches cuits au naturel (poids égoutté) | 50 g de lentilles corail sèches
soupes-et-potees,Curry vert de pois au tofu,https://www.cuisine-libre.org/curry-vert-de-pois-au-tofu,https://www.cuisine-libre.org/local/cache-gd2/49/9e4886fd5a14777e34bc42a9d79940.jpg?1644794333,,,Durée totale :15 min,Végétalien (vegan),,10 min,5 min,PT15M,Mijoté,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,,3 à 4 cuillères à soupe de pâte de curry vert thaï | 1/2 tasse (400 ml) de lait de coco | 2 poignées de pois surgelés | 2 poignées de pois mange-tout frais | 300 g de tofu ferme
soupes-et-potees,Pot-au-feu,https://www.cuisine-libre.org/pot-au-feu,https://www.cuisine-libre.org/local/cache-gd2/f3/84832c5e8695545d205669ca1de3bc.jpg?1644794291,,,Durée totale :3 h 30,Non végétarien,45,30 min,3 h,PT3H30M,Bouilli,"Sans œuf, Sans lactose",5.00,45,4,"5 litres d’eau | 750 g de plat de côte (ou flanchet) | 500 g de macreuse (ou paleron) | 250 g de queue de bœuf (ou jarret) | 4 os à moelle | 4 carottes | 4 navets | 4 poireaux | 1 oignon | 2 clous de girofle | 2 gousses d’ail | 1 bouquet garni (thym, laurier, persil) | 1 branche de céleri | 1 c. soupe de grains de poivre | gros sel"
soupes-et-potees,Maffé de patate douce aux épinards,https://www.cuisine-libre.org/ragout-vegan-epinard-patate-douce-arachide,https://www.cuisine-libre.org/local/cache-gd2/96/f34e9164992c89510d8b9f780188e2.jpg?1723919529,,,Durée totale :55 min,Végétalien (vegan),,10 min,45 min,PT55M,Bouilli,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,6,"1 oignon moyen, haché | 3 gousses d’ail, émincées | 2 c. à soupe de gingembre frais râpé | 2 c. à soupe d’huile d’olive | 6 tasses d’eau | ½ c. à café de piment rouge écrasé | ½ c. à café de sel | ½ c. à café de poivre noir | 700 g de patate douce, coupée en morceaux | 2 tomates moyennes, hachées | 3 tasses (500 g) de chou frisé ou d’épinards hachés (surgelés) | 1 c. à café rase de flocons de piment ou pas | 1 louche remplie de beurre d’arachides croquant"
soupes-et-potees,Langue de veau sauce piquante,https://www.cuisine-libre.org/langue-de-veau-sauce-piquante,https://www.cuisine-libre.org/local/cache-gd2/c2/19ab51317b9b90e0e4677cb1e321bc.jpg?1644794296,Ja6,,Durée totale :2 h 30,Non végétarien,,45 min,1 h 45,PT2H30M,Bouilli,Sans œuf,,,4,1 langue de veau | 1 carotte | 1 Poireau | 1 oignon | 2 gousses d’ail | 1 bouquet garni | Sel & Poivre | Pour la sauce piquante | 30 g de farine : 1 c. à soupe rase | 50 g de beurre | 1 c. à soupe de concentré de tomate | 1 tomate fraîche | 1 échalote | 6 c. à soupe de vin blanc sec | 6 c. à soupe de vinaigre | 3 cornichons | 1 c. à soupe de câpres | persil | 4 grains de poivre - concassés
soupes-et-potees,Tajine de poulet aux coings caramélisés,https://www.cuisine-libre.org/tajine-de-poulet-aux-coings-caramelises,https://www.cuisine-libre.org/local/cache-gd2/68/03672023491f202dc1061e830259a6.jpg?1644795468,Radia,,Durée totale :1 h 20,Non végétarien,2,20 min,1 h,PT1H20M,Mijoté,"Sans œuf, Sans lactose, Sans gluten",5.00,2,6,"1 poulet fermier de 1,8 kgou 6 cuisses | 4 oignons (env. 300 g) | 1 bâton de cannelle | 1 c. à café de gingembre en poudre | 1 c. à café de curcuma | ½ c. à café de poivre blanc | 3 c. soupe d’huile d’olive | Pour caraméliser les coings : | 3 à 4 coings bien mûrs (env. 700 g) | 1 citron | 3 c. à soupe de miel épais | 1 c. à soupe de smen (beurre) | 1 c. à soupe de cannelle moulue | 1 poignée d’amandes effilées"
soupes-et-potees,Tajine d’agneau aux dattes et aux noix,https://www.cuisine-libre.org/tajine-d-agneau-aux-dattes-et-aux-noix,https://www.cuisine-libre.org/local/cache-gd2/3a/c83fddf28a1b3ed9b7678edb821440.jpg?1644795405,Ja6,,Durée totale :1 h 30,Non végétarien,1,30 min,1 h,PT1H30M,Mijoté,Sans œuf,5.00,1,4,"500 g d’épaule d’agneau | 400 g de dattes mahjoul | 400 g de noix décortiquées | 2 cl d’eau de fleur d’oranger | 10 cl d’huile olive | Pour la marinade | 1 cuillère à café de gingembre en poudre | 1 cuillère à café de pistils de safran | 3 gousses d’ail | 2 Oignons | 1 bâtonnet de cannelle | Sel, Poivre du moulin | Pour le sirop | 2 cl d’eau de fleur d’oranger | 1/2 cuillère a café de cannelle en poudre | 300 g de sucre semoule | Décoration | 50 g de cerneaux de noix"
soupes-et-potees,Romazava en verdure,https://www.cuisine-libre.org/romazava-en-verdure,https://www.cuisine-libre.org/local/cache-gd2/6c/4e7128170e2cee4176cac73e8868d8.jpg?1644797161,corinne,,Durée totale :3 h 30,Non végétarien,9,30 min,3 h,PT3H30M,Mijoté,Sans œuf,5.00,9,6,"1 kg de bœuf à braiser | 2 oignons | 2 gousses d’ail | feuilles et fleurs de brèdes mafane[*] | 1 ou 2 salades | fanes d’une botte de radis | et autres verdures : épinard, mâche, feuilles de bettes, cresson, etc. | gingembre | piment | coriandre en grain (facultatif) | sel, poivre"
soupes-et-potees,Chou blanc au lard,https://www.cuisine-libre.org/chou-blanc-au-lard,https://www.cuisine-libre.org/local/cache-gd2/21/f58acf05fbb9be3298c6d50cac7335.jpg?1644796604,Cédric,,Durée totale :1 h 25,Non végétarien,34,15 min,1 h 10,PT1H25M,Mijoté,"Sans œuf, Sans lactose, Sans gluten",5.00,34,4,350 g de poitrine fumée | 750 g de chou blanc | 1 cube et demi de bouillon de poule dégraissé | 1 litre d’eau | 6 pommes de terre moyennes | 3 clous de girofle
soupes-et-potees,Blanquette de carottes trois couleurs,https://www.cuisine-libre.org/blanquette-de-carottes-trois-couleurs,https://www.cuisine-libre.org/local/cache-gd2/a2/46e2bba44a6a2ba52a7036c01cebbc.jpg?1644794951,Romy,,Durée totale :1 h 05,Végétarien,5,15 min,50 min,PT1H5M,Bouilli,"Sans viande, Sans œuf",5.00,5,4,"2 verres de riz blanc | 3 belles carottes anciennes de couleurs différentes : jaune, rouge et violette | 1 beau blanc de de poireau | 100 g de petits champignons de Paris entiers | 1 oignon | 1 clou de girofle | 10 cl de vin blanc sec (facultatif) | ½ litre d’eau | Pour la sauce blanquette : | 2 noix de beurre (ou margarine) | 2 c. à soupe bombée de farine | 4 c. à soupe de crème fraîche épaisse | ½ citron pressé | sel, poivre | muscade en poudre"
soupes-et-potees,Tian de haricots de Beaumes de Venise,https://www.cuisine-libre.org/tian-de-haricots-de-beaumes-de-venise,https://www.cuisine-libre.org/local/cache-gd2/cf/ad62f6bc27abe9617acbdff0ad8228.jpg?1644794349,Produits du terroir,,Durée totale :12 h,Non végétarien,3,?,,PT12H,Four,"Sans œuf, Sans lactose, Sans gluten",5.00,3,,1 kg de porc frais | 300 g de haricots cavaillonnais en grain | gousses d’ail | 2 oignons | 3 tomates | feuilles de sauge | huile d’olive | sel et poivre
soupes-et-potees,Soupe au fromage,https://www.cuisine-libre.org/soupe-au-fromage,https://www.cuisine-libre.org/local/cache-gd2/3c/fba03a61cbc3987427fee263f46687.jpg?1644795646,LaurieB_,,Durée totale :30 min,Végétarien,1,20 min,10 min,PT30M,Four,"Sans viande, Sans œuf",5.00,1,4,1 kg de pain de campagne rassis | 3 litre de bouillon de volaille | 200 g de gruyère | 500 g de cantal | 3 oignons
soupes-et-potees,"Dahl de lentilles corail, carottes et pomme de  (...)",https://www.cuisine-libre.org/dahl-de-lentilles-corail-carottes-et-pomme,https://www.cuisine-libre.org/local/cache-gd2/42/1d43f723f62647d9db6654b18912c6.jpg?1644795440,XavCC,,Durée totale :1 h 05,Végétalien (vegan),3,40 min,25 min,PT1H5M,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,3,3,2 litres d’eau | 1 cuillère à café de gros sel | 2 grosses pommes de terre | 4 carottes | 200 g de lentilles corail | 1 gingembre frais | 1 tomate | curry | cumin | 1 gousse d’ail | 2 oignons rouges | 200 ml de lait de coco
soupes-et-potees,Spaghettis ratatouille végétariens,https://www.cuisine-libre.org/spaghettis-ratatouille-vegetariens,https://www.cuisine-libre.org/local/cache-gd2/a6/1c877c9ec099aa4f6e7767c17c80ad.jpg?1723646214,Le Goût des Plantes,,,Végétarien,,?,,,Bouilli,"Sans viande, Sans œuf",,,4,"150 g deTextured Vegetable Protein (TVP)= protéines végétales texturées | 1 verre de vin rouge | 1 feuille de laurier | 2 branches de thym | 400 g de spaghettis complets | 8 tomates bien mûres | 2 oignons | 1 courgette | 1 aubergine | 2 poivrons rouges | 3 gousses d’ail | un peu d’origan et de paprika | sel, poivre | 1 sucre"
soupes-et-potees,Eintopf (potée lorraine),https://www.cuisine-libre.org/potee-lorraine-eintopf,https://www.cuisine-libre.org/local/cache-gd2/38/059b0cff4b5cb2b8390e43acb5af65.jpg?1645183549,,,Durée totale :5 h 10,Non végétarien,,30 min,2 h 40,PT5H10M,Bouilli,"Sans œuf, Sans lactose, Sans gluten",,0,4,"1 jarret de porc demi sel | 500 g de palette fumée | 2 saucisses de Lorraine (ou de Morteau) | 100  g de poitrine fumée | 1 chou vert frisé | 250 g de haricots blancs secstrempés pendant la nuit | 250 g de navets | 250 g de carottes | 500 g de pommes de terre à chair ferme | 1 oignon épluchépiqué d’un clou de girofle | 1 bouquet garni | poivre en grains | Pour servir | 1 pot de crème fraîche épaisse | échalotes ciselées | vinaigre (de marque Melfor de préférence) | sel, poivre"
soupes-et-potees,Curry de poulet malaisien (Tumisan Kari (...),https://www.cuisine-libre.org/curry-de-poulet-malaisien-tumisan-kari-ayam,https://www.cuisine-libre.org/local/cache-gd2/cf/fcf79909edcfe1d540306e0d454eef.jpg?1706043172,Tean’s Gourmet,Facile !,Durée totale :30 min,Non végétarien,,10 min,20 min,PT30M,Bouilli,"Sans œuf, Sans lactose, Sans gluten",,,6,"200 g de pâte de curry pour Tumisan Kari Ayam[*] | 2 pommes de terre moyennes, coupées en quartiers | 1,5 kg de poulet en morceaux | 250 à 500 ml d’eau | 200 ml de lait de coco"
soupes-et-potees,Agneau au Marsala et haricots tarbais,https://www.cuisine-libre.org/agneau-au-marsala-et-haricots-tarbais,https://www.cuisine-libre.org/local/cache-gd2/10/bf7e800b01903854aba37cdc616b46.jpg?1644794349,Haricot Tarbais,,Durée totale :14 h,Non végétarien,,30 min,1 h 30,PT14H,Mijoté,Sans œuf,,,6,"400 g de haricots tarbais cuits au naturel | 500 g d’agneau à mijoter | 2 càs de farine | 25 g de beurre | huile d’olive | 1 oignon | 2 gousses d’ail | 80 ml de Marsala | 125 ml de bouillon de légumes | 350 g de champignons de Paris frais | 125 ml de crème fleurette | thym | sel, poivre"
soupes-et-potees,"Curry de butternut, navet et pois chiches",https://www.cuisine-libre.org/curry-vegetarien-pois-chiche-navet-butternut,https://www.cuisine-libre.org/local/cache-gd2/54/66294bc71f0f1810816819d4640755.jpg?1648340601,Antzou,,Durée totale :1 h,Végétalien (vegan),1,20 min,40 min,PT1H,Mijoté,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,1,4,400 ml de lait de coco | 200 à 300 g de courge butternut | 2 navets violets | 200 g de pois chiches cuits | 1 oignon | 2 gousse d’ail | 5 cm de gingembre frais | 1 c. à café de curcuma | 2 c. à café de mélange pour curry | 1 c. à café de concentré de tomate | 1 c. à café de piment en poudre (optionnel) | coriandre fraiche (optionnel)
soupes-et-potees,Soupe à la crème d’ail en miche de pain (krémová (...),https://www.cuisine-libre.org/soupe-creme-ail-en-miche-de-pain-kremova-cesnacka,https://www.cuisine-libre.org/local/cache-gd2/7a/00aee8eecd7a1a71035d1f11c4b7e1.jpg?1644794499,,,Durée totale :35 min,Végétarien,2,20 min,15 min,PT35M,Bouilli,"Sans viande, Sans œuf",5.00,2,4,"4 petites boules de pain frais de campagne | 8 à 10 gousses d’ail | ½ oignon | 2 à 3 pommes de terre | 750 ml de bouillon | 200 ml de crème fraîche | 2 c. à soupe de beurre | ½ c. à café de marjolaineou de thym séché | sel, poivre | ciboulette fraîche"
soupes-et-potees,Soupe de morue aux pois chiches (potaje de  (...),https://www.cuisine-libre.org/soupe-de-morue-aux-pois-chiches-potaje-de-vigilia,https://www.cuisine-libre.org/local/cache-gd2/9c/edce05e03109c6c6ca5ed70c73fc46.jpg?1644794504,,,Durée totale :14 h,Non végétarien,1,20 min,2 h,PT14H20M,Bouilli,"Sans viande, Sans lactose",5.00,1,4,250 g de pois chiches secs(ou 650 g de pois chiches cuits) | 300 g d’épinards frais en branchesou de verts de blette | 350 g de morue | 2 œufs (facultatif) | 1 tranche de pain rassis | ¼ poivron rouge ou vert | 1 tomate concassée | 1 carotte (facultatif) | 1 oignon | 4 gousses d’ail | 2 feuilles de laurier | 1 c. café de paprika doux | 1 c. café de cumin moulu | sel | huile d’olive | 1 litre de bouillon de légumes ou de poisson (ou d’eau)
soupes-et-potees,Rôti de porc à la bière au pain,https://www.cuisine-libre.org/roti-de-porc-a-la-biere-au-pain,https://www.cuisine-libre.org/local/cache-gd2/8b/d78298d5e44334a6fd647f9196aef0.jpg?1644794488,CoMiAs,,Durée totale :3 h 45,Non végétarien,21,15 min,3 h 30,PT3H45M,,,5.00,21,4,1 rôti de porc de 700 g | 3 bouteilles de 75cl de bière au pain | 1 gros oignon | 1 échalote | 600 g de grenailles de 1 à 2 cm | 10 cl d’huile d’olive | sel et poivre
soupes-et-potees,Haricot de mouton,https://www.cuisine-libre.org/haricot-de-mouton,https://www.cuisine-libre.org/local/cache-gd2/c3/dd07673847a0b11615dad6e6eed160.jpg?1644794963,Ménagier de Paris,,Durée totale :2 h 20,Non végétarien,3,20 min,2 h,PT2H20M,Mijoté,"Sans œuf, Sans lactose, Sans gluten",5.00,3,6,"1 kg de viande de mouton (collier, épaule, poitrine) en morceaux | 400 g de navet (facultatif) | 4 gros oignons | 150 g de lard fuméou 1 noix de saindoux | 1 litre de bouillon de bœuf | 5 c. à soupe de persil haché | 1 c. à soupe d’hysope[1]fraîche hachée sinon 1/2 c. à soupe de menthe fraîche | 5 feuilles de sauge fraîche hachée | 1/2 c. à café de macis[2]sinon de muscade en poudre | sel"
soupes-et-potees,Haricots blancs à la sauge (fagioli all’uccelletto),https://www.cuisine-libre.org/haricots-blancs-a-la-sauge-fagioli-all,https://www.cuisine-libre.org/local/cache-gd2/cc/bd27af19aa850d110afed8f5b45ece.jpg?1644802619,Ja6,,Durée totale :12 h,Végétalien (vegan),5,15 min,1 h 45,PT12H,Mijoté,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,5,5,400 g de haricots blancs secs(ou 800 g de haricots frais à écosser) | sel | 400 g de tomates (fraîches ou en boîte) | 10 feuilles de sauge fraîche | 4 gousses d’ail | 6 cuillères à soupe d’huile d’olive | poivre noir
soupes-et-potees,Poule au pot,https://www.cuisine-libre.org/poule-au-pot,https://www.cuisine-libre.org/local/cache-gd2/b2/9641c2d39143214ad29e6aa58e6732.jpg?1644794959,,,Durée totale :2 h 35,Non végétarien,1,35 min,2 h,PT2H35M,Bouilli,"Sans œuf, Sans lactose, Sans gluten",5.00,1,4,"1 belle poule fermière de plus d’1 kg | 3 litres d’eau | 8 carottes | 4 navets (ou rutabaga) | 4 poireaux | 1 gros oignon | 2 clous de girofle | 1 bouquet garni (thym, laurier, persil) | 1 branche de céleri | 4 grains de poivre | gros sel"
soupes-et-potees,Chti Welsh,https://www.cuisine-libre.org/chti-welsh,https://www.cuisine-libre.org/local/cache-gd2/38/176bfbde52c0fe5a513ab52f38a991.jpg?1644794980,,,Durée totale :20 min,Végétarien,18,20 min,,PT20M,Four,"Sans viande, Sans œuf",5.00,18,1,1 tranche de pain rassis | 10 cl de bière brune ou ambrée | 100 g de Maroilles | 1 cuillerée de moutarde | 1 de sauce Worcestershire végétarienne | poivre
soupes-et-potees,Hochepot (pot-au-feu flamand),https://www.cuisine-libre.org/hochepot,https://www.cuisine-libre.org/local/cache-gd2/85/51085123f057eabb613bd1a8754834.jpg?1644794295,Ja6,,Durée totale :4 h,Non végétarien,2,1 h,3 h,PT4H,Bouilli,Sans œuf,5.00,2,10,"Bouillon de base | 25 cl de fond de veau ou de bœuf | 1 os à moelle | 2 carottes | 1 poireau | 1 céleri vert | 1 bouquet garni | 2 gros oignons | 6 clous de girofle | Assortiment de viandes | 300 g d’agneau : collier, poitrine ou épaule | 300 g de veau : épaule ou poitrine | 300 g de porc : longe ou poitrine | 500 g de jarret de bœuf | 250 g de lard fumé maigre | 10 petites saucisses de hachis veau et porc | Légumes | 4 carottes | 3 tiges de poireau | 1 chou de Savoie | 1/2 céleri rave | 1 panais (facultatif) | 5 navets blancs | 10 radis | 5 petits oignons ou échalotes | 500 g de pommes de terre à chair ferme | 250 g de beurre | sel & poivre noir"
soupes-et-potees,Poule au blanc,https://www.cuisine-libre.org/poule-au-blanc,https://www.cuisine-libre.org/local/cache-gd2/85/3efb33d0d9fe39a26bbd7d037937d0.jpg?1644794485,,,Durée totale :2 h 30,Non végétarien,9,30 min,2 h,PT2H30M,Bouilli,,5.00,9,6,"1 belle poule fermière | 3 litres d’eau | 4 carottes | 2 navets blancs | 4 blancs de poireaux | 1 gros oignon | 2 clous de girofle | 1 bouquet garni (thym, laurier, persil) | 4 grains de poivre | 1,5 c. soupe de gros sel | 3 verres de riz blanc | 500 g de champignons de paris | Pour la sauce | 25 g de beurre | 25 g de farine | 2 c. soupe de crème fraîche | 1 jaune d’œuf | sel, poivre"
soupes-et-potees,Râgout de haricots beurre au tofu,https://www.cuisine-libre.org/ragout-de-haricots-beurre-au-tofu,https://www.cuisine-libre.org/local/cache-gd2/55/b1333cb9cd67f7eeafc873c13d8121.jpg?1644794328,,,,Végétalien (vegan),2,?,,,Mijoté,"Sans viande, Sans œuf, Sans lactose, Sans gluten",5.00,2,4,1 paquet (200 g) de tofu | 200 g de haricots beurre | 130 g de petits pois | 1 gros oignon | 2 gousses d’ail | 1 morceau de gingembre | 2 c. à thé de poudre curcuma | 2 c. à thé de poudre de paprika | 1 c. à soupe de poudre de coriandre | ⅓ tasse de ketchup | ⅓ tasse de sauce chili | huile
soupes-et-potees,Curry rouge de crevettes,https://www.cuisine-libre.org/curry-rouge-de-crevettes,https://www.cuisine-libre.org/local/cache-gd2/83/b6f1beb1a07102cf2e6511d27d89f0.jpg?1705860743,Fanny Rezvanpour,,,Non végétarien,,?,,,Bouilli,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,,"Pour le Kroeung Kraham (pâte de curry rouge) | 2 tiges de citronnelle fraîche émincées très finement | 3 c. à café de curcuma frais | 3 échalotes, hachées | 6 gousses d’ail | 30 g de galanga coupé en petits dés | 4 feuilles de combava (lime kaffir) déveinées et hachées finement | zestes de 2 combavas tranchés en fines lanières | ¼ c. à café de sel | 3 piments rouges séchés, réhydratés, épépinés et égouttés | 1 piment d’oiseau (voire plus au goût) | Pour le Somlar Kari Saek Mouan | 600 g de grosses crevettes crues | 5 c. à soupe d’huile végétale | 2 c. à soupe de pâte de curry rouge (kroeung kraham — ci-dessus) | 1 c. à café de prahok (pâte de poisson) | 3 c. à soupe de nuoc-mam | 2 c. à soupe de sucre de palme réduit en poudre | 1 c. à café de sel | 250 ml de crème de coco | 750 ml d’eau bouillante | 2 oignons rouges coupés en lamelles | 5 haricots serpent coupés en morceaux de 5 cm | 1 aubergine coupée dans le sens de la longueur en morceaux de 5 cm | 1 pomme de terre douce | 1 grosse pomme de terre blanche"
soupes-et-potees,Soupe au pistou familiale,https://www.cuisine-libre.org/soupe-au-pistou-familiale,https://www.cuisine-libre.org/local/cache-gd2/16/609c706623a326824aff8fffba2845.jpg?1645183549,Txo min,,Durée totale :2 h,Non végétarien,,1 h,1 h,PT2H,Bouilli,Sans œuf,,,6,"Pour la soupe | 1 talon de jambon rance | 250 g d’haricots blancs frais | 200 g d’haricots coco rouges frais | 200 g d’haricots verts plats | 4 pommes de terre | 3 courgettes | 3 tomates | 100 g de macaronis coupés | sel, poivre | Pour le pistou | 1 gousse d’ail[1] | 100 g de poitrine salée[2] | 1 bouquet de basilic | 2 tomates | 10 cl huile d’olive | poivre | Pour servir | 100 g de fromage rapé[3]"
soupes-et-potees,Millet & lentilles aux légumes racines,https://www.cuisine-libre.org/salade-chaude-millet-lentilles-aux-legumes-racines,https://www.cuisine-libre.org/local/cache-gd2/28/607379aeff0f080bbb0b77e516d359.jpg?1644796832,Le Goût des Plantes,,Durée totale :1 h,Végétalien (vegan),,20 min,40 min,PT1H,,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,4,200 g de lentilles | 170 g de millet | 30 g de sésame | une botte (± 500 g) de scorsonères[*] | 3 gros navets | 1/2 céléri rave | 1 oignon (ou 2 échalottes) | 1 cc romarin brisé
soupes-et-potees,Lentilles au lait et aux pissenlits,https://www.cuisine-libre.org/lentilles-au-lait-et-aux-pissenlits,https://www.cuisine-libre.org/local/cache-gd2/b8/7d4f0ecb3ebb35c68d25b79d9396d1.jpg?1649033732,,,Durée totale :1 h 15,Non végétarien,,15 min,1 h,PT1H15M,Bouilli,"Sans œuf, Sans gluten",,,4,"1 poignée de lentilles par personne | 1 belle tranche de poitrine fumée, demi-sel ou fumée | ½ carotte | ½ oignon | 2 grosses poignées de pissenlits, de préférence en bouton | sel | herbes aromatiques | lait | 2 rondelles de raifort"
soupes-et-potees,Feijoada (cassoulet brésilien),https://www.cuisine-libre.org/feijoada-cassoulet-bresilien,https://www.cuisine-libre.org/local/cache-gd2/61/63ebe756a846fc996c4429accb2861.jpg?1644794512,kinou,,Durée totale :11 h,Non végétarien,6,30 min,3 h,PT11H30M,Mijoté,"Sans œuf, Sans lactose, Sans gluten",5.00,6,4,"500 g de bœuf à cuire | 300 g de carne do sertão (viande de bœuf légèrement salée et séchée au soleil) | 200 g de saucisse de porc fumée | 500 g de haricots noirs secs | 100 ml de concentré de tomate | quelques aromates : basilic, laurier… | huile d’olive | sel, poivre | Pour la sauce | 2 ou 3 tomates fraiches pelées | 1 poivron | 1 oignon | ail à volonté | 2 verres d’eau | Pour servir | riz à votre goût (long, basmati, complet…) | farine de manioc | sauce pimentée | 1 banane en rondelleset/ou une tranche d’orange"
